"Name","DisplayName","State","StartMode","PathName","ServiceType"
"TsUsbGD","Dispositivo USB Gen?rico de ?rea de Trabalho Remota","Stopped","Manual","C:\WINDOWS\system32\drivers\TsUsbGD.sys","Kernel Driver"
"usbcir","eHome Infrared Receiver (USBCIR)","Stopped","Manual","C:\WINDOWS\system32\drivers\usbcir.sys","Kernel Driver"
"SerCx2","Serial UART Support Library","Stopped","Manual","C:\WINDOWS\system32\drivers\SerCx2.sys","Kernel Driver"
"SerCx","Serial UART Support Library","Stopped","Manual","C:\WINDOWS\system32\drivers\SerCx.sys","Kernel Driver"
"xboxgip","Driver de Protocolo de Entrada de Jogo do Xbox","Stopped","Manual","C:\WINDOWS\system32\drivers\xboxgip.sys","Kernel Driver"
"usbser","Driver Serial USB Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\usbser.sys","Kernel Driver"
"USBSTOR","USB Mass Storage Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\USBSTOR.SYS","Kernel Driver"
"SDFRd","Refletor de SDF","Stopped","Manual","C:\WINDOWS\system32\drivers\SDFRd.sys","Kernel Driver"
"sdbus","sdbus","Stopped","Manual","C:\WINDOWS\system32\drivers\sdbus.sys","Kernel Driver"
"sdstor","Driver de Porta de Armazenamento SD","Stopped","Manual","C:\WINDOWS\system32\drivers\sdstor.sys","Kernel Driver"
"usbuhci","Microsoft USB Universal Host Controller Miniport Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\usbuhci.sys","Kernel Driver"
"xinputhid","Driver de Filtro XINPUT HID","Stopped","Manual","C:\WINDOWS\system32\drivers\xinputhid.sys","Kernel Driver"
"sermouse","Serial Mouse Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\sermouse.sys","Kernel Driver"
"VMSVSP","VmSwitch Extensibility Protocol","Stopped","Manual","C:\WINDOWS\system32\drivers\vmswitch.sys","Kernel Driver"
"sfloppy","Unidade de disquete de alta capacidade","Stopped","Manual","C:\WINDOWS\system32\drivers\sfloppy.sys","Kernel Driver"
"SiSRaid2","SiSRaid2","Stopped","Manual","C:\WINDOWS\system32\drivers\SiSRaid2.sys","Kernel Driver"
"wsddprm","Warsaw - Driver (PRM)","Stopped","Manual","\??\C:\windows\system32\drivers\wsddprm.sys","Kernel Driver"
"TsUsbFlt","Driver de Filtro da Classe Hub USB de ?rea de Trabalho Remota","Stopped","Manual","C:\WINDOWS\system32\drivers\tsusbflt.sys","Kernel Driver"
"usbprint","Microsoft USB PRINTER Class","Stopped","Manual","C:\WINDOWS\system32\drivers\usbprint.sys","Kernel Driver"
"WudfPf","User Mode Driver Frameworks Platform Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\WudfPf.sys","Kernel Driver"
"VMSVSF","VmSwitch Extensibility Filter","Stopped","Manual","C:\WINDOWS\system32\drivers\vmswitch.sys","Kernel Driver"
"usbohci","Microsoft USB Open Host Controller Miniport Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\usbohci.sys","Kernel Driver"
"VirtualRender","VirtualRender","Stopped","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\vrd.inf_amd64_81fbd405ff2470fc\vrd.sys","Kernel Driver"
"vwifibus","Virtual Wireless Bus Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\vwifibus.sys","Kernel Driver"
"VSTXRAID","VIA StorX Storage Controller Windows Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\vstxraid.sys","Kernel Driver"
"UfxChipidea","Controlador USB Chipidea","Stopped","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\ufxchipidea.inf_amd64_1c78775fffab6a0a\UfxChipidea.sys","Kernel Driver"
"vsmraid","vsmraid","Stopped","Manual","C:\WINDOWS\system32\drivers\vsmraid.sys","Kernel Driver"
"ufxsynopsys","Controlador USB Synopsys","Stopped","Manual","C:\WINDOWS\system32\drivers\ufxsynopsys.sys","Kernel Driver"
"wanarpv6","Driver ARP IPv6 de Acesso Remoto","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\wanarp.sys","Kernel Driver"
"WacomPen","Driver HID da Caneta Serial Wacom","Stopped","Manual","C:\WINDOWS\system32\drivers\wacompen.sys","Kernel Driver"
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\tcpip.sys","Kernel Driver"
"UcmUcsiCx0101","UCM-UCSI KMDF Class Extension","Stopped","Manual","C:\WINDOWS\system32\Drivers\UcmUcsiCx.sys","Kernel Driver"
"UevAgentDriver","UevAgentDriver","Stopped","Disabled","C:\WINDOWS\system32\drivers\UevAgentDriver.sys","File System Driver"
"vmgid","Driver de Infraestrutura de Convidado do Microsoft Hyper-V","Stopped","Manual","C:\WINDOWS\system32\drivers\vmgid.sys","Kernel Driver"
"UdeCx","USB Device Emulation Support Library","Stopped","Manual","C:\WINDOWS\system32\drivers\udecx.sys","Kernel Driver"
"udfs","udfs","Stopped","Disabled","C:\WINDOWS\system32\DRIVERS\udfs.sys","File System Driver"
"tmel","tmel","Stopped","Boot","C:\WINDOWS\system32\DRIVERS\tmel.sys","Kernel Driver"
"VMBusHID","VMBusHID","Stopped","Manual","C:\WINDOWS\system32\drivers\VMBusHID.sys","Kernel Driver"
"vmbus","Barramento VMBus","Stopped","Manual","C:\WINDOWS\system32\drivers\vmbus.sys","Kernel Driver"
"vpnva","Cisco AnyConnect Secure Mobility Client Virtual Miniport Adapter for Windows x64","Stopped","Manual","C:\WINDOWS\system32\drivers\vpnva64-6.sys","Kernel Driver"
"Ufx01000","USB Function Class Extension","Stopped","Manual","C:\WINDOWS\system32\drivers\ufx01000.sys","Kernel Driver"
"vpci","Barramento PCI Virtual do Microsoft Hyper-V","Stopped","Manual","C:\WINDOWS\system32\drivers\vpci.sys","Kernel Driver"
"vhf","Driver de VHF (Estrutura HID Virtual)","Stopped","Manual","C:\WINDOWS\system32\drivers\vhf.sys","Kernel Driver"
"UcmTcpciCx0101","UCM-TCPCI KMDF Class Extension","Stopped","Manual","C:\WINDOWS\system32\Drivers\UcmTcpciCx.sys","Kernel Driver"
"usbaudio2","Servi?o USB Audio 2.0","Stopped","Manual","C:\WINDOWS\system32\drivers\usbaudio2.sys","Kernel Driver"
"storvsc","storvsc","Stopped","Manual","C:\WINDOWS\system32\drivers\storvsc.sys","Kernel Driver"
"WdNisDrv","Driver do Sistema de Inspe??o de Rede do Microsoft Defender Antiv?rus","Stopped","Manual","C:\WINDOWS\system32\drivers\wd\WdNisDrv.sys","Kernel Driver"
"UcmUcsiAcpiClient","Cliente UCM-UCSI ACPI","Stopped","Manual","C:\WINDOWS\system32\drivers\UcmUcsiAcpiClient.sys","Kernel Driver"
"WinMad","Servi?o WinMad","Stopped","Manual","C:\WINDOWS\system32\drivers\winmad.sys","Kernel Driver"
"storflt","Acelerador de Armazenamento Microsoft Hyper-V","Stopped","Manual","C:\WINDOWS\system32\drivers\vmstorfl.sys","Kernel Driver"
"UASPStor","Driver UAS (USB Attached SCSI)","Stopped","Manual","C:\WINDOWS\system32\drivers\uaspstor.sys","Kernel Driver"
"storufs","Driver UFS (Universal Flash Storage) Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\storufs.sys","Kernel Driver"
"WIMMount","WIMMount","Stopped","Manual","C:\WINDOWS\system32\drivers\wimmount.sys","File System Driver"
"WdFilter","Driver de Minifiltro do Microsoft Defender Antiv?rus","Stopped","Manual","C:\WINDOWS\system32\drivers\wd\WdFilter.sys","File System Driver"
"Synth3dVsc","Synth3dVsc","Stopped","Manual","C:\WINDOWS\system32\drivers\Synth3dVsc.sys","Kernel Driver"
"UmPass","Driver UMPass da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\umpass.sys","Kernel Driver"
"wcnfs","Windows Container Name Virtualization","Stopped","Manual","C:\WINDOWS\system32\drivers\wcnfs.sys","File System Driver"
"WdBoot","Driver de Inicializa??o do Microsoft Defender Antiv?rus","Stopped","Manual","C:\WINDOWS\system32\drivers\wd\WdBoot.sys","Kernel Driver"
"UrsCx01000","USB Role-Switch Support Library","Stopped","Manual","C:\WINDOWS\system32\drivers\urscx01000.sys","Kernel Driver"
"UrsSynopsys","Driver Synopsys USB Role-Switch","Stopped","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\urssynopsys.inf_amd64_057fa37902020500\urssynopsys.sys","Kernel Driver"
"UrsChipidea","Driver Chipidea USB Role-Switch","Stopped","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\urschipidea.inf_amd64_78ad1c14e33df968\urschipidea.sys","Kernel Driver"
"wdiwifi","WDI Driver Framework","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\wdiwifi.sys","Kernel Driver"
"WdmCompanionFilter","WdmCompanionFilter","Stopped","Manual","C:\WINDOWS\system32\drivers\WdmCompanionFilter.sys","Kernel Driver"
"HdAudAddService","Driver de Fun??o Microsoft 1.1 UAA para Servi?o de High Definition Audio","Stopped","Manual","C:\WINDOWS\system32\drivers\HdAudio.sys","Kernel Driver"
"HidBatt","Driver de Bateria UPS HID","Stopped","Manual","C:\WINDOWS\system32\drivers\HidBatt.sys","Kernel Driver"
"gencounter","Contador de Gera??o do Microsoft Hyper-V","Stopped","Manual","C:\WINDOWS\system32\drivers\vmgencounter.sys","Kernel Driver"
"genericusbfn","Classe de Fun??o USB Gen?rica","Stopped","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_53931f0ae21d6d2c\genericusbfn.sys","Kernel Driver"
"HidBth","Miniporta HID Bluetooth da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\hidbth.sys","Kernel Driver"
"HidIr","Driver HID infravermelho da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\hidir.sys","Kernel Driver"
"hidspi","Driver de Miniporta HID SPI da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\hidspi.sys","Kernel Driver"
"hidi2c","Driver de Miniporta HID I2C da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\hidi2c.sys","Kernel Driver"
"hidinterrupt","Driver Comum para Bot?es HID implementado com interrup??es","Stopped","Manual","C:\WINDOWS\system32\drivers\hidinterrupt.sys","Kernel Driver"
"flpydisk","Driver de disquete","Stopped","Manual","C:\WINDOWS\system32\drivers\flpydisk.sys","Kernel Driver"
"drmkaud","Drivers de ?udio Confi?veis da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\drmkaud.sys","Kernel Driver"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","Stopped","Manual","C:\WINDOWS\system32\drivers\evbda.sys","Kernel Driver"
"dam","Desktop Activity Moderator Driver","Stopped","System","C:\WINDOWS\system32\drivers\dam.sys","Kernel Driver"
"dmvsc","dmvsc","Stopped","Manual","C:\WINDOWS\system32\drivers\dmvsc.sys","Kernel Driver"
"EhStorTcgDrv","Driver da Microsoft para dispositivos de armazenamento que d?o suporte aos protocolos IEEE 1667 e TCG","Stopped","Manual","C:\WINDOWS\system32\drivers\EhStorTcgDrv.sys","Kernel Driver"
"fdc","Driver de controlador de disquete","Stopped","Manual","C:\WINDOWS\system32\drivers\fdc.sys","Kernel Driver"
"Filetrace","Filetrace","Stopped","Manual","C:\WINDOWS\system32\drivers\filetrace.sys","File System Driver"
"ErrDev","Microsoft Hardware Error Device Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\errdev.sys","Kernel Driver"
"exfat","exFAT File System Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\exfat.sys","File System Driver"
"HidSpiCx","HidSpi KMDF Class Extension","Stopped","Manual","C:\WINDOWS\system32\drivers\HidSpiCx.sys","Kernel Driver"
"iaLPSS2i_GPIO2_GLK","Intel(R) Serial IO GPIO Driver v2","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","Kernel Driver"
"iaLPSS2i_I2C","Intel(R) Serial IO I2C Driver v2","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C.sys","Kernel Driver"
"iaLPSS2i_GPIO2","Intel(R) Serial IO GPIO Driver v2","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2.sys","Kernel Driver"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) Serial IO GPIO Driver v2","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","Kernel Driver"
"iaLPSS2i_I2C_BXT_P","Intel(R) Serial IO I2C Driver v2","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","Kernel Driver"
"iaLPSSi_I2C","Intel(R) Serial IO I2C Controller Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSSi_I2C.sys","Kernel Driver"
"iaStorAVC","Controlador Intel Chipset SATA RAID","Stopped","Manual","C:\WINDOWS\system32\drivers\iaStorAVC.sys","Kernel Driver"
"iaLPSS2i_I2C_GLK","Intel(R) Serial IO I2C Driver v2","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_GLK.sys","Kernel Driver"
"iaLPSSi_GPIO","Driver de Controlador Intel(R) Serial IO GPIO","Stopped","Manual","C:\WINDOWS\system32\drivers\iaLPSSi_GPIO.sys","Kernel Driver"
"iai2c","Controlador Host Intel(R) Serial IO I2C","Stopped","Manual","C:\WINDOWS\system32\drivers\iai2c.sys","Kernel Driver"
"hvcrash","hvcrash","Stopped","Disabled","C:\WINDOWS\system32\drivers\hvcrash.sys","Kernel Driver"
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Stopped","Manual","C:\WINDOWS\system32\Drivers\mshwnclx.sys","Kernel Driver"
"hnswfpdriver","Driver HNS WFP","Stopped","Manual","C:\WINDOWS\system32\drivers\hnswfpdriver.sys","Kernel Driver"
"HpSAMD","HpSAMD","Stopped","Manual","C:\WINDOWS\system32\drivers\HpSAMD.sys","Kernel Driver"
"hwpolicy","Hardware Policy Driver","Stopped","Boot","C:\WINDOWS\system32\drivers\hwpolicy.sys","Kernel Driver"
"i8042prt","i8042 Keyboard and PS/2 Mouse Port Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\i8042prt.sys","Kernel Driver"
"iagpio","Driver do Controlador Intel Serial IO GPIO","Stopped","Manual","C:\WINDOWS\system32\drivers\iagpio.sys","Kernel Driver"
"hyperkbd","hyperkbd","Stopped","Manual","C:\WINDOWS\system32\drivers\hyperkbd.sys","Kernel Driver"
"HyperVideo","HyperVideo","Stopped","Manual","C:\WINDOWS\system32\drivers\HyperVideo.sys","Kernel Driver"
"cnghwassist","CNG Hardware Assist algorithm provider","Stopped","Disabled","C:\WINDOWS\system32\DRIVERS\cnghwassist.sys","Kernel Driver"
"amdxata","amdxata","Stopped","Manual","C:\WINDOWS\system32\drivers\amdxata.sys","Kernel Driver"
"AppID","Driver IDApl","Stopped","Manual","C:\WINDOWS\system32\drivers\appid.sys","Kernel Driver"
"amdsata","amdsata","Stopped","Manual","C:\WINDOWS\system32\drivers\amdsata.sys","Kernel Driver"
"amdsbs","amdsbs","Stopped","Manual","C:\WINDOWS\system32\drivers\amdsbs.sys","Kernel Driver"
"applockerfltr","Driver de Filtro Smartlocker","Stopped","Manual","C:\WINDOWS\system32\drivers\applockerfltr.sys","Kernel Driver"
"AppvVfs","AppvVfs","Stopped","Manual","C:\WINDOWS\system32\drivers\AppvVfs.sys","File System Driver"
"arcsas","Driver de Miniporta Adaptec SAS/SATA-II RAID Storport","Stopped","Manual","C:\WINDOWS\system32\drivers\arcsas.sys","Kernel Driver"
"AppvStrm","AppvStrm","Stopped","Manual","C:\WINDOWS\system32\drivers\AppvStrm.sys","File System Driver"
"AppvVemgr","AppvVemgr","Stopped","Manual","C:\WINDOWS\system32\drivers\AppvVemgr.sys","File System Driver"
"AmdPPM","AMD Processor Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\amdppm.sys","Kernel Driver"
"AcpiPmi","Driver Medidor de Energia ACPI","Stopped","Manual","C:\WINDOWS\system32\drivers\acpipmi.sys","Kernel Driver"
"acpitime","Driver do Alarme de Ativa??o ACPI","Stopped","Manual","C:\WINDOWS\system32\drivers\acpitime.sys","Kernel Driver"
"3ware","3ware","Stopped","Manual","C:\WINDOWS\system32\drivers\3ware.sys","Kernel Driver"
"AcpiDev","Driver de dispositivos ACPI","Stopped","Manual","C:\WINDOWS\system32\drivers\AcpiDev.sys","Kernel Driver"
"Acx01000","Acx01000","Stopped","Manual","C:\WINDOWS\system32\drivers\Acx01000.sys","Kernel Driver"
"amdi2c","Servi?o de Controlador AMD I2C","Stopped","Manual","C:\WINDOWS\system32\drivers\amdi2c.sys","Kernel Driver"
"AmdK8","AMD K8 Processor Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\amdk8.sys","Kernel Driver"
"ADP80XX","ADP80XX","Stopped","Manual","C:\WINDOWS\system32\drivers\ADP80XX.SYS","Kernel Driver"
"amdgpio2","Driver de Cliente AMD GPIO","Stopped","Manual","C:\WINDOWS\system32\drivers\amdgpio2.sys","Kernel Driver"
"AsyncMac","Driver de m?dia ass?ncrona RAS","Stopped","Manual","C:\WINDOWS\system32\drivers\asyncmac.sys","Kernel Driver"
"buttonconverter","Servi?o para dispositivos de Controle de Dispositivo Port?til","Stopped","Manual","C:\WINDOWS\system32\drivers\buttonconverter.sys","Kernel Driver"
"CAD","Driver de Arbitragem de Carregamento","Stopped","Manual","C:\WINDOWS\system32\drivers\CAD.sys","Kernel Driver"
"BTHUSB","Driver USB de R?dio Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\BTHUSB.sys","Kernel Driver"
"bttflt","Filtro VHDPMEM BTT do Microsoft Hyper-V","Stopped","Manual","C:\WINDOWS\system32\drivers\bttflt.sys","Kernel Driver"
"cdfs","CD/DVD File System Reader","Stopped","Disabled","C:\WINDOWS\system32\DRIVERS\cdfs.sys","File System Driver"
"circlass","Dispositivos de IV do Consumidor","Stopped","Manual","C:\WINDOWS\system32\drivers\circlass.sys","Kernel Driver"
"CmBatt","Driver de Bateria do M?todo de Controle ACPI da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\CmBatt.sys","Kernel Driver"
"cht4iscsi","cht4iscsi","Stopped","Manual","C:\WINDOWS\system32\drivers\cht4sx64.sys","Kernel Driver"
"cht4vbd","Chelsio Virtual Bus Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\cht4vx64.sys","Kernel Driver"
"BTHPORT","Driver de Porta Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\BTHport.sys","Kernel Driver"
"bcmfn2","bcmfn2 Service","Stopped","Manual","C:\WINDOWS\system32\drivers\bcmfn2.sys","Kernel Driver"
"BthA2dp","Microsoft Bluetooth A2dp driver","Stopped","Manual","C:\WINDOWS\system32\drivers\BthA2dp.sys","Kernel Driver"
"atapi","Canal de IDE","Stopped","Manual","C:\WINDOWS\system32\drivers\atapi.sys","Kernel Driver"
"b06bdrv","QLogic Network Adapter VBD","Stopped","Manual","C:\WINDOWS\system32\drivers\bxvbda.sys","Kernel Driver"
"BthEnum","Servi?o de Enumerador de Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\BthEnum.sys","Kernel Driver"
"BthMini","Driver de R?dio Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\BTHMINI.sys","Kernel Driver"
"BTHMODEM","Driver de Comunica??o de Modem Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\bthmodem.sys","Kernel Driver"
"BthHFEnum","Driver do Perfil de Viva-voz de Microsoft Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\bthhfenum.sys","Kernel Driver"
"BthLEEnum","Driver de Baixa Energia do Bluetooth","Stopped","Manual","C:\WINDOWS\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","Kernel Driver"
"iaStorV","Intel RAID Controller Windows 7","Stopped","Manual","C:\WINDOWS\system32\drivers\iaStorV.sys","Kernel Driver"
"nvraid","nvraid","Stopped","Manual","C:\WINDOWS\system32\drivers\nvraid.sys","Kernel Driver"
"nvstor","nvstor","Stopped","Manual","C:\WINDOWS\system32\drivers\nvstor.sys","Kernel Driver"
"npcap","Npcap Packet Driver (NPCAP)","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\npcap.sys","Kernel Driver"
"nvdimm","Driver de dispositivo NVDIMM da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\nvdimm.sys","Kernel Driver"
"Parport","Driver de porta paralela","Stopped","Manual","C:\WINDOWS\system32\drivers\parport.sys","Kernel Driver"
"pcip","Driver de Proxy de PCI","Stopped","Manual","C:\WINDOWS\system32\drivers\pcip.sys","Kernel Driver"
"pcmcia","pcmcia","Stopped","Manual","C:\WINDOWS\system32\drivers\pcmcia.sys","Kernel Driver"
"passthruparser","PassthroughParser","Stopped","Manual","C:\WINDOWS\system32\drivers\passthruparser.sys","Kernel Driver"
"pciide","pciide","Stopped","Manual","C:\WINDOWS\system32\drivers\pciide.sys","Kernel Driver"
"netvsc","netvsc","Stopped","Manual","C:\WINDOWS\system32\drivers\netvsc.sys","Kernel Driver"
"NativeWifiP","Filtro NativeWiFi","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\nwifi.sys","Kernel Driver"
"ndfltr","Servi?o NetworkDirect","Stopped","Manual","C:\WINDOWS\system32\drivers\ndfltr.sys","Kernel Driver"
"MTConfig","Microsoft Input Configuration Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\MTConfig.sys","Kernel Driver"
"mvumis","mvumis","Stopped","Manual","C:\WINDOWS\system32\drivers\mvumis.sys","Kernel Driver"
"NdisImPlatform","Protocolo do Multiplexador de Adaptador de Rede da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\NdisImPlatform.sys","Kernel Driver"
"NetAdapterCx","Network Adapter Wdf Class Extension Library","Stopped","Manual","C:\WINDOWS\system32\drivers\NetAdapterCx.sys","Kernel Driver"
"1394ohci","1394 OHCI Compliant Host Controller","Stopped","Manual","C:\WINDOWS\system32\drivers\1394ohci.sys","Kernel Driver"
"ndiswanlegacy","Driver WAN NDIS HERDADO de Acesso Remoto","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\ndiswan.sys","Kernel Driver"
"NDKPing","NDKPing Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\NDKPing.sys","Kernel Driver"
"percsas2i","percsas2i","Stopped","Manual","C:\WINDOWS\system32\drivers\percsas2i.sys","Kernel Driver"
"ReFSv1","ReFSv1","Stopped","Manual","C:\WINDOWS\system32\drivers\ReFSv1.sys","File System Driver"
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Stopped","Manual","C:\WINDOWS\system32\drivers\rfcomm.sys","Kernel Driver"
"RasAcd","Remote Access Auto Connection Driver","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\rasacd.sys","Kernel Driver"
"ReFS","ReFS","Stopped","Manual","C:\WINDOWS\system32\drivers\ReFS.sys","File System Driver"
"rhproxy","Driver do proxy do Hub de Recursos","Stopped","Manual","C:\WINDOWS\system32\drivers\rhproxy.sys","Kernel Driver"
"scfilter","Driver de Filtro de Classe PnP de Cart?o inteligente","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\scfilter.sys","Kernel Driver"
"scmbus","Driver de Barramento de Mem?ria de Classe de Armazenamento da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\scmbus.sys","Kernel Driver"
"s3cap","s3cap","Stopped","Manual","C:\WINDOWS\system32\drivers\vms3cap.sys","Kernel Driver"
"sbp2port","SBP-2 Transport/Protocol Bus Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\sbp2port.sys","Kernel Driver"
"ramparser","ramparser","Stopped","Manual","C:\WINDOWS\system32\drivers\ramparser.sys","Kernel Driver"
"pmem","Driver de disco de mem?ria persistente da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\pmem.sys","Kernel Driver"
"PNPMEM","Driver de m?dulo de mem?ria da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\pnpmem.sys","Kernel Driver"
"percsas3i","percsas3i","Stopped","Manual","C:\WINDOWS\system32\drivers\percsas3i.sys","Kernel Driver"
"PktMon","Packet Monitor Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\PktMon.sys","Kernel Driver"
"portcfg","portcfg","Stopped","Manual","C:\WINDOWS\system32\drivers\portcfg.sys","Kernel Driver"
"QWAVEdrv","QWAVE driver","Stopped","Manual","C:\WINDOWS\system32\drivers\qwavedrv.sys","Kernel Driver"
"Ramdisk","Windows RAM Disk Driver","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\ramdisk.sys","Kernel Driver"
"Processor","Driver de processador","Stopped","Manual","C:\WINDOWS\system32\drivers\processr.sys","Kernel Driver"
"pvhdparser","pvhdparser","Stopped","Manual","C:\WINDOWS\system32\drivers\pvhdparser.sys","Kernel Driver"
"MSTEE","Conversor em T entre Coletores de stream Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\MSTEE.sys","Kernel Driver"
"LSI_SAS","LSI_SAS","Stopped","Manual","C:\WINDOWS\system32\drivers\lsi_sas.sys","Kernel Driver"
"LSI_SAS2i","LSI_SAS2i","Stopped","Manual","C:\WINDOWS\system32\drivers\lsi_sas2i.sys","Kernel Driver"
"kbldfltr","kbldfltr","Stopped","Manual","C:\WINDOWS\system32\drivers\kbldfltr.sys","Kernel Driver"
"l2bridge","Driver de Ponte","Stopped","Manual","C:\WINDOWS\system32\drivers\l2bridge.sys","Kernel Driver"
"LSI_SAS3i","LSI_SAS3i","Stopped","Manual","C:\WINDOWS\system32\drivers\lsi_sas3i.sys","Kernel Driver"
"lunparser","LUN Parser","Stopped","Manual","C:\WINDOWS\system32\drivers\lunparser.sys","Kernel Driver"
"mausbhost","Driver do Controlador MA USB Host","Stopped","Manual","C:\WINDOWS\system32\drivers\mausbhost.sys","Kernel Driver"
"LSI_SSS","LSI_SSS","Stopped","Manual","C:\WINDOWS\system32\drivers\lsi_sss.sys","Kernel Driver"
"luafv","Virtualiza??o de arquivo UAC","Stopped","Auto","C:\WINDOWS\system32\drivers\luafv.sys","File System Driver"
"ItSas35i","ItSas35i","Stopped","Manual","C:\WINDOWS\system32\drivers\ItSas35i.sys","Kernel Driver"
"intelpmax","Driver do Gerenciador de Energia de Pico de Dispositivo Din?mico Intel(R)","Stopped","Manual","C:\WINDOWS\system32\drivers\intelpmax.sys","Kernel Driver"
"IpFilterDriver","Driver de filtro de tr?fego IP","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\ipfltdrv.sys","Kernel Driver"
"ibbus","Mellanox InfiniBand Bus/AL (Filter Driver)","Stopped","Manual","C:\WINDOWS\system32\drivers\ibbus.sys","Kernel Driver"
"intelide","intelide","Stopped","Manual","C:\WINDOWS\system32\drivers\intelide.sys","Kernel Driver"
"IPMIDRV","IPMIDRV","Stopped","Manual","C:\WINDOWS\system32\drivers\IPMIDrv.sys","Kernel Driver"
"isapnp","isapnp","Stopped","Manual","C:\WINDOWS\system32\drivers\isapnp.sys","Kernel Driver"
"iScsiPrt","Driver iScsiPort","Stopped","Manual","C:\WINDOWS\system32\drivers\msiscsi.sys","Kernel Driver"
"IPNAT","IP Network Address Translator","Stopped","Manual","C:\WINDOWS\system32\drivers\ipnat.sys","Kernel Driver"
"IPT","IPT","Stopped","Manual","C:\WINDOWS\system32\drivers\ipt.sys","Kernel Driver"
"mausbip","Driver do Filtro MA USB IP","Stopped","Manual","C:\WINDOWS\system32\drivers\mausbip.sys","Kernel Driver"
"mshidumdf","Pass-through HID to UMDF Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\mshidumdf.sys","Kernel Driver"
