"Name","DisplayName","State","StartMode","PathName"
"SgrmBroker","System Guard Runtime Monitor Broker","Running","Auto","C:\WINDOWS\system32\SgrmBroker.exe"
"SessionEnv","Configura??o da ?rea de Trabalho Remota","Running","Manual","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"TMResponse","Trend Micro Response Service","Running","Auto","""C:\Program Files (x86)\Trend Micro\EndpointResponse\ResponseService.exe"" -s"
"ShellHWDetection","Detec??o do hardware do shell","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"TmWSCSvc","Apex One NT WSC Service","Running","Manual","""C:\Program Files (x86)\Trend Micro\OfficeScan Client\TmWSCSvc.exe"""
"StorSvc","Servi?o de Armazenamento","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"stisvc","Assistente de aquisi??o de imagens do Windows (WIA)","Running","Auto","C:\WINDOWS\system32\svchost.exe -k imgsvc"
"StateRepository","Servi?o de Reposit?rio de Estado","Running","Manual","C:\WINDOWS\system32\svchost.exe -k appmodel -p"
"SysMain","SysMain","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SystemEventsBroker","Agente de Eventos do Sistema","Running","Auto","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"TabletInputService","Servi?o de Teclado Virtual e Painel de Manuscrito","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SSDPSRV","Descoberta SSDP","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SQLWriter","SQL Server VSS Writer","Running","Auto","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"""
"sppsvc","Prote??o de Software","Running","Auto","C:\WINDOWS\system32\sppsvc.exe"
"SstpSvc","Servi?o SSTP","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"TermService","Servi?os de ?rea de Trabalho Remota","Running","Manual","C:\WINDOWS\System32\svchost.exe -k NetworkService"
"Themes","Temas","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"TokenBroker","Gerenciador de Conta da Web","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"RmSvc","Servi?o de Gerenciamento de R?dio","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted"
"UIFlowLogShipper","Power Automate log shipper service","Running","Auto","""C:\Program Files (x86)\Power Automate Desktop\Microsoft.Flow.RPA.LogShipper.exe"""
"RemoteRegistry","Registro remoto","Running","Auto","C:\WINDOWS\system32\svchost.exe -k localService -p"
"RpcSs","RPC (Chamada de Procedimento Remoto)","Running","Auto","C:\WINDOWS\system32\svchost.exe -k rpcss -p"
